text,label,weight
We reduced carbon emissions by 52% compared to baseline,specific measurable claim,0.47
Our operations are certified carbon neutral by a third party,certified sustainable product,0.09
We comply with Rainforest Alliance certification standards,certified sustainable product,0.14
Our brand promotes environmentally responsible solutions,vague environmental claim,0.91
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.09
We lowered greenhouse gas emissions by 44% since baseline,specific measurable claim,0.38
We improved energy efficiency by 63% across operations,specific measurable claim,0.48
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.13
We decreased water usage by 78% in manufacturing,specific measurable claim,0.34
We comply with Rainforest Alliance certification standards,certified sustainable product,0.13
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.13
Our products are eco-friendly and better for the environment,vague environmental claim,0.82
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.98
We comply with Rainforest Alliance certification standards,certified sustainable product,0.14
We improved energy efficiency by 70% across operations,specific measurable claim,0.35
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.09
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.92
Our cotton is GOTS certified organic cotton,certified sustainable product,0.15
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.09
This item includes 58% biodegradable components,specific measurable claim,0.48
Designed with the planet in mind for a cleaner future,vague environmental claim,0.87
Our products are eco-friendly and better for the environment,vague environmental claim,0.85
Our factory cut waste generation by 55% last year,specific measurable claim,0.44
We lowered greenhouse gas emissions by 50% since baseline,specific measurable claim,0.27
Our brand promotes environmentally responsible solutions,vague environmental claim,0.84
Our products are eco-friendly and better for the environment,vague environmental claim,0.98
This product is made of 65% plant-based materials,specific measurable claim,0.43
We comply with Rainforest Alliance certification standards,certified sustainable product,0.11
We decreased water usage by 16% in manufacturing,specific measurable claim,0.38
We care about the planet and use clean production methods,vague environmental claim,0.92
This product is natural and safe for the environment,vague environmental claim,0.92
We improved energy efficiency by 54% across operations,specific measurable claim,0.5
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.08
Our supply chain emissions dropped by 48% over two years,specific measurable claim,0.5
This product is certified by LEED standards for environmental design,certified sustainable product,0.11
This product is certified by LEED standards for environmental design,certified sustainable product,0.09
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.06
This product is natural and safe for the environment,vague environmental claim,0.96
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.14
We care about the planet and use clean production methods,vague environmental claim,0.82
We comply with Rainforest Alliance certification standards,certified sustainable product,0.13
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.89
This product is made of 20% plant-based materials,specific measurable claim,0.31
Our operations are certified carbon neutral by a third party,certified sustainable product,0.08
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.13
This product is natural and safe for the environment,vague environmental claim,0.89
Our products are eco-friendly and better for the environment,vague environmental claim,0.95
Our operations are certified carbon neutral by a third party,certified sustainable product,0.08
The product uses 62% recycled aluminum,specific measurable claim,0.33
Our packaging contains 70% recycled plastic,specific measurable claim,0.44
This item includes 56% biodegradable components,specific measurable claim,0.43
Our supply chain emissions dropped by 49% over two years,specific measurable claim,0.42
We aim to be a green company focused on sustainability,vague environmental claim,0.85
Our operations are certified carbon neutral by a third party,certified sustainable product,0.11
Our supply chain emissions dropped by 23% over two years,specific measurable claim,0.26
Our packaging is environmentally friendly and reusable,vague environmental claim,0.88
This product is certified by LEED standards for environmental design,certified sustainable product,0.05
The product uses 65% recycled aluminum,specific measurable claim,0.4
We comply with Rainforest Alliance certification standards,certified sustainable product,0.07
This item includes 69% biodegradable components,specific measurable claim,0.36
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.09
This item includes 41% biodegradable components,specific measurable claim,0.39
Designed with the planet in mind for a cleaner future,vague environmental claim,0.98
This item includes 61% biodegradable components,specific measurable claim,0.27
We are committed to sustainability and green practices,vague environmental claim,0.81
Our operations are certified carbon neutral by a third party,certified sustainable product,0.06
Our packaging is environmentally friendly and reusable,vague environmental claim,0.97
Our products are eco-friendly and better for the environment,vague environmental claim,0.82
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.84
Our factory cut waste generation by 21% last year,specific measurable claim,0.31
This product is made of 89% plant-based materials,specific measurable claim,0.31
We reduced carbon emissions by 88% compared to baseline,specific measurable claim,0.49
We care about the planet and use clean production methods,vague environmental claim,0.88
Our packaging contains 82% recycled plastic,specific measurable claim,0.34
We decreased water usage by 22% in manufacturing,specific measurable claim,0.32
We improved energy efficiency by 43% across operations,specific measurable claim,0.33
We reduced carbon emissions by 60% compared to baseline,specific measurable claim,0.46
Designed with the planet in mind for a cleaner future,vague environmental claim,0.91
This item includes 76% biodegradable components,specific measurable claim,0.41
Our supply chain emissions dropped by 63% over two years,specific measurable claim,0.4
This item includes 62% biodegradable components,specific measurable claim,0.42
This product is certified by LEED standards for environmental design,certified sustainable product,0.09
This product is certified by LEED standards for environmental design,certified sustainable product,0.05
Our brand promotes environmentally responsible solutions,vague environmental claim,0.95
We aim to be a green company focused on sustainability,vague environmental claim,0.83
This product is certified by LEED standards for environmental design,certified sustainable product,0.09
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.1
We are committed to sustainability and green practices,vague environmental claim,0.98
Our packaging is environmentally friendly and reusable,vague environmental claim,0.91
The product uses 89% recycled aluminum,specific measurable claim,0.27
All ingredients are USDA Organic certified,certified sustainable product,0.05
This item includes 71% biodegradable components,specific measurable claim,0.34
This product is certified by LEED standards for environmental design,certified sustainable product,0.1
Our supply chain emissions dropped by 44% over two years,specific measurable claim,0.45
Our brand promotes environmentally responsible solutions,vague environmental claim,0.98
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.89
We are committed to sustainability and green practices,vague environmental claim,0.94
Our packaging is environmentally friendly and reusable,vague environmental claim,0.92
Our cotton is GOTS certified organic cotton,certified sustainable product,0.1
Designed with the planet in mind for a cleaner future,vague environmental claim,0.95
Our packaging contains 90% recycled plastic,specific measurable claim,0.29
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.06
Our operations are certified carbon neutral by a third party,certified sustainable product,0.07
Our factory cut waste generation by 30% last year,specific measurable claim,0.39
We improved energy efficiency by 78% across operations,specific measurable claim,0.49
We care about the planet and use clean production methods,vague environmental claim,0.98
This item includes 89% biodegradable components,specific measurable claim,0.41
Our packaging contains 63% recycled plastic,specific measurable claim,0.3
Designed with the planet in mind for a cleaner future,vague environmental claim,0.99
We aim to be a green company focused on sustainability,vague environmental claim,0.82
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.14
This product is natural and safe for the environment,vague environmental claim,0.98
We comply with Rainforest Alliance certification standards,certified sustainable product,0.14
Designed with the planet in mind for a cleaner future,vague environmental claim,0.89
We improved energy efficiency by 35% across operations,specific measurable claim,0.28
We lowered greenhouse gas emissions by 47% since baseline,specific measurable claim,0.43
Designed with the planet in mind for a cleaner future,vague environmental claim,0.9
Our products are eco-friendly and better for the environment,vague environmental claim,0.8
This product is natural and safe for the environment,vague environmental claim,0.82
We are committed to sustainability and green practices,vague environmental claim,0.99
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.11
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.98
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.81
Our packaging is environmentally friendly and reusable,vague environmental claim,0.86
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.97
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.07
Our packaging contains 65% recycled plastic,specific measurable claim,0.38
Our packaging is environmentally friendly and reusable,vague environmental claim,0.93
Our supply chain emissions dropped by 84% over two years,specific measurable claim,0.41
Our brand promotes environmentally responsible solutions,vague environmental claim,0.99
Designed with the planet in mind for a cleaner future,vague environmental claim,0.99
We comply with Rainforest Alliance certification standards,certified sustainable product,0.15
This product is certified by LEED standards for environmental design,certified sustainable product,0.07
We care about the planet and use clean production methods,vague environmental claim,0.97
We care about the planet and use clean production methods,vague environmental claim,0.91
Our packaging contains 28% recycled plastic,specific measurable claim,0.47
This product is certified by LEED standards for environmental design,certified sustainable product,0.1
This product is certified by LEED standards for environmental design,certified sustainable product,0.13
We decreased water usage by 41% in manufacturing,specific measurable claim,0.46
We improved energy efficiency by 74% across operations,specific measurable claim,0.46
This product is natural and safe for the environment,vague environmental claim,0.85
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.13
Our supply chain emissions dropped by 14% over two years,specific measurable claim,0.27
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.07
Our cotton is GOTS certified organic cotton,certified sustainable product,0.07
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.11
We comply with Rainforest Alliance certification standards,certified sustainable product,0.15
We reduced carbon emissions by 70% compared to baseline,specific measurable claim,0.39
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.07
This item includes 29% biodegradable components,specific measurable claim,0.48
We are committed to sustainability and green practices,vague environmental claim,0.83
We reduced carbon emissions by 41% compared to baseline,specific measurable claim,0.32
Our brand promotes environmentally responsible solutions,vague environmental claim,0.88
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.06
We lowered greenhouse gas emissions by 63% since baseline,specific measurable claim,0.44
Our factory cut waste generation by 70% last year,specific measurable claim,0.26
We are committed to sustainability and green practices,vague environmental claim,0.88
We care about the planet and use clean production methods,vague environmental claim,0.83
All ingredients are USDA Organic certified,certified sustainable product,0.11
Designed with the planet in mind for a cleaner future,vague environmental claim,0.91
This item includes 26% biodegradable components,specific measurable claim,0.28
We comply with Rainforest Alliance certification standards,certified sustainable product,0.13
This product is natural and safe for the environment,vague environmental claim,0.88
We comply with Rainforest Alliance certification standards,certified sustainable product,0.09
We care about the planet and use clean production methods,vague environmental claim,0.97
We lowered greenhouse gas emissions by 37% since baseline,specific measurable claim,0.37
We improved energy efficiency by 58% across operations,specific measurable claim,0.49
Our factory cut waste generation by 58% last year,specific measurable claim,0.44
Our products are eco-friendly and better for the environment,vague environmental claim,0.82
This product is made of 33% plant-based materials,specific measurable claim,0.29
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.05
All ingredients are USDA Organic certified,certified sustainable product,0.12
We decreased water usage by 46% in manufacturing,specific measurable claim,0.32
This item includes 76% biodegradable components,specific measurable claim,0.26
This item includes 40% biodegradable components,specific measurable claim,0.41
We reduced carbon emissions by 72% compared to baseline,specific measurable claim,0.37
Our packaging is environmentally friendly and reusable,vague environmental claim,0.87
Our brand promotes environmentally responsible solutions,vague environmental claim,0.96
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
We comply with Rainforest Alliance certification standards,certified sustainable product,0.12
The product uses 62% recycled aluminum,specific measurable claim,0.39
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.05
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
Our packaging is environmentally friendly and reusable,vague environmental claim,0.83
Our supply chain emissions dropped by 48% over two years,specific measurable claim,0.45
We aim to be a green company focused on sustainability,vague environmental claim,0.85
Our supply chain emissions dropped by 66% over two years,specific measurable claim,0.45
All ingredients are USDA Organic certified,certified sustainable product,0.05
We reduced carbon emissions by 66% compared to baseline,specific measurable claim,0.38
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.06
Our brand promotes environmentally responsible solutions,vague environmental claim,0.9
Our factory cut waste generation by 16% last year,specific measurable claim,0.49
We lowered greenhouse gas emissions by 69% since baseline,specific measurable claim,0.5
We care about the planet and use clean production methods,vague environmental claim,0.93
We decreased water usage by 59% in manufacturing,specific measurable claim,0.48
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.1
Our products are eco-friendly and better for the environment,vague environmental claim,0.97
We lowered greenhouse gas emissions by 61% since baseline,specific measurable claim,0.46
This product is natural and safe for the environment,vague environmental claim,0.92
We improved energy efficiency by 23% across operations,specific measurable claim,0.3
This product is made of 75% plant-based materials,specific measurable claim,0.47
We care about the planet and use clean production methods,vague environmental claim,0.95
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.11
This product is certified by LEED standards for environmental design,certified sustainable product,0.08
We decreased water usage by 89% in manufacturing,specific measurable claim,0.44
Our packaging contains 48% recycled plastic,specific measurable claim,0.26
We lowered greenhouse gas emissions by 10% since baseline,specific measurable claim,0.37
Our cotton is GOTS certified organic cotton,certified sustainable product,0.08
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.06
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.11
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.1
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.15
Our materials are sourced responsibly for eco-conscious living,vague environmental claim,0.81
This item includes 32% biodegradable components,specific measurable claim,0.38
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.08
Our packaging is environmentally friendly and reusable,vague environmental claim,0.97
We decreased water usage by 33% in manufacturing,specific measurable claim,0.3
We care about the planet and use clean production methods,vague environmental claim,0.95
This product is natural and safe for the environment,vague environmental claim,0.84
We aim to be a green company focused on sustainability,vague environmental claim,0.83
This item includes 80% biodegradable components,specific measurable claim,0.47
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.84
Our cotton is GOTS certified organic cotton,certified sustainable product,0.12
This product is made of 23% plant-based materials,specific measurable claim,0.33
This item includes 41% biodegradable components,specific measurable claim,0.4
Our brand promotes environmentally responsible solutions,vague environmental claim,0.85
Our factory cut waste generation by 82% last year,specific measurable claim,0.27
Our factory cut waste generation by 74% last year,specific measurable claim,0.46
We care about the planet and use clean production methods,vague environmental claim,0.82
We improved energy efficiency by 45% across operations,specific measurable claim,0.33
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
All ingredients are USDA Organic certified,certified sustainable product,0.13
We are committed to sustainability and green practices,vague environmental claim,0.9
Designed with the planet in mind for a cleaner future,vague environmental claim,0.81
Our factory cut waste generation by 82% last year,specific measurable claim,0.36
This product is made of 62% plant-based materials,specific measurable claim,0.27
All ingredients are USDA Organic certified,certified sustainable product,0.12
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.1
Our brand promotes environmentally responsible solutions,vague environmental claim,0.88
This product is certified by LEED standards for environmental design,certified sustainable product,0.06
We comply with Rainforest Alliance certification standards,certified sustainable product,0.1
Our factory cut waste generation by 26% last year,specific measurable claim,0.36
We are committed to sustainability and green practices,vague environmental claim,0.81
We aim to be a green company focused on sustainability,vague environmental claim,0.99
We reduced carbon emissions by 13% compared to baseline,specific measurable claim,0.31
We are committed to sustainability and green practices,vague environmental claim,0.99
Our factory cut waste generation by 63% last year,specific measurable claim,0.46
We decreased water usage by 76% in manufacturing,specific measurable claim,0.27
Our factory cut waste generation by 17% last year,specific measurable claim,0.34
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.93
Our factory cut waste generation by 69% last year,specific measurable claim,0.42
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.97
Our supply chain emissions dropped by 83% over two years,specific measurable claim,0.49
Designed with the planet in mind for a cleaner future,vague environmental claim,0.96
We improved energy efficiency by 84% across operations,specific measurable claim,0.41
Our cotton is GOTS certified organic cotton,certified sustainable product,0.14
This product is made of 65% plant-based materials,specific measurable claim,0.31
Our factory cut waste generation by 86% last year,specific measurable claim,0.39
We lowered greenhouse gas emissions by 26% since baseline,specific measurable claim,0.49
Our factory cut waste generation by 46% last year,specific measurable claim,0.46
We aim to be a green company focused on sustainability,vague environmental claim,0.97
All ingredients are USDA Organic certified,certified sustainable product,0.11
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.13
This product is certified by LEED standards for environmental design,certified sustainable product,0.14
Our materials meet OEKO-TEX Standard 100 certification,certified sustainable product,0.1
We reduced carbon emissions by 13% compared to baseline,specific measurable claim,0.41
Our brand promotes environmentally responsible solutions,vague environmental claim,0.98
We care about the planet and use clean production methods,vague environmental claim,0.98
We comply with Rainforest Alliance certification standards,certified sustainable product,0.09
We aim to be a green company focused on sustainability,vague environmental claim,1.0
We lowered greenhouse gas emissions by 61% since baseline,specific measurable claim,0.26
We are committed to sustainability and green practices,vague environmental claim,0.81
Our operations are certified carbon neutral by a third party,certified sustainable product,0.09
Our products are eco-friendly and better for the environment,vague environmental claim,0.99
Designed with the planet in mind for a cleaner future,vague environmental claim,0.85
Our operations are certified carbon neutral by a third party,certified sustainable product,0.12
Our cotton is GOTS certified organic cotton,certified sustainable product,0.06
Our factory cut waste generation by 46% last year,specific measurable claim,0.43
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.87
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.12
This product is natural and safe for the environment,vague environmental claim,0.84
Our packaging is FSC certified and sourced from sustainable forests,certified sustainable product,0.07
We comply with Rainforest Alliance certification standards,certified sustainable product,0.06
This item includes 22% biodegradable components,specific measurable claim,0.29
We comply with Rainforest Alliance certification standards,certified sustainable product,0.12
Our brand promotes environmentally responsible solutions,vague environmental claim,0.8
Our packaging is environmentally friendly and reusable,vague environmental claim,0.96
This item includes 72% biodegradable components,specific measurable claim,0.45
We decreased water usage by 34% in manufacturing,specific measurable claim,0.39
Our products are eco-friendly and better for the environment,vague environmental claim,0.94
Our products are eco-friendly and better for the environment,vague environmental claim,0.96
We are a B Corp certified company meeting social and environmental standards,certified sustainable product,0.14
This product is FSC certified wood from responsibly managed forests,certified sustainable product,0.14
We reduced carbon emissions by 41% compared to baseline,specific measurable claim,0.39
We follow sustainable methods to reduce environmental impact,vague environmental claim,0.85
This product carries Fair Trade certification for ethical sourcing,certified sustainable product,0.15
Our supply chain emissions dropped by 90% over two years,specific measurable claim,0.45
We care about the planet and use clean production methods,vague environmental claim,0.97
This item includes 78% biodegradable components,specific measurable claim,0.37
Our supply chain emissions dropped by 11% over two years,specific measurable claim,0.32
